날짜,여성_60대이상,여성_50대,여성_40대,여성_30대,여성_20대,여성_10대,남성_60대이상,남성_50대,남성_40대,남성_30대,남성_20대,남성_10대
2022-06-08,17,12,33,38,10,25,30,30,37,35,9,16
2022-06-09,17,13,23,46,10,16,8,21,44,50,9,12
2022-06-10,10,12,18,40,10,25,12,25,32,33,6,17
2022-06-11,0,22,19,20,6,4,8,15,43,18,5,12
2022-06-12,10,11,16,29,6,22,18,19,33,28,6,20
2022-06-13,24,7,23,35,11,42,12,35,36,44,9,31
2022-06-14,0,27,30,37,14,11,44,33,49,44,11,33
2022-06-15,28,8,19,44,9,27,18,31,41,56,11,38
2022-06-16,34,20,20,47,10,13,14,19,39,45,9,17
2022-06-17,3,18,24,34,7,20,30,24,42,35,7,21
2022-06-18,3,11,16,26,7,16,20,25,38,19,6,12
2022-06-19,21,16,10,25,6,16,10,22,29,24,7,9
2022-06-20,0,21,25,41,10,27,16,40,46,47,12,15
2022-06-21,31,15,22,38,10,16,12,23,43,56,14,21
2022-06-22,7,7,19,37,12,22,22,30,35,42,13,11
2022-06-23,10,19,21,35,13,27,32,16,37,51,9,5
2022-06-24,3,16,24,30,9,15,38,35,44,22,8,9
2022-06-25,21,5,16,27,9,7,12,20,18,30,9,14
2022-06-26,24,9,25,28,12,40,42,24,23,41,11,22
2022-06-27,34,13,17,34,13,9,32,25,56,51,12,14
2022-06-28,24,11,27,49,11,4,10,23,39,46,10,11
2022-06-29,28,13,35,36,14,16,22,28,53,51,11,13
2022-06-30,28,22,18,28,15,11,20,27,55,48,10,23
2022-07-01,17,7,18,26,12,5,20,31,31,36,7,29
2022-07-02,7,16,8,27,11,38,26,14,25,28,7,12
2022-07-03,10,20,9,18,10,31,30,30,30,30,7,17
2022-07-04,24,20,15,47,12,18,20,27,41,53,12,18
2022-07-05,38,14,22,33,10,22,8,22,52,42,13,34
2022-07-06,7,13,19,41,13,13,8,21,39,38,9,22
2022-07-07,14,10,19,35,9,24,32,12,42,29,9,34
2022-07-08,0,4,8,6,3,7,24,10,18,12,4,10
2022-07-09,0,0,1,1,1,0,0,0,6,0,0,0
